,Date,Open(USD),High(USD),Low(USD),Close(USD),Volume,Market Cap(USD),Close Percent Change
1188,2018-11-08,217.55373789,218.77767556,212.29251527,212.29251527,752675.97444773,159787475.79997197,-0.024131297602612126
1187,2018-11-07,218.86819299,222.21934539,216.26223892,217.54208814,1007511.72619042,219176204.73716608,-0.007497039360013558
1186,2018-11-06,208.95823772,219.18532918,207.67236616,219.18532918,1000237.4264218999,219237369.56509468,0.04937766830200418
1185,2018-11-05,210.79518047,211.03885439,206.49221128,208.87173017,748911.49566792,156426439.84233138,-0.009462697374483351
1184,2018-11-04,198.96607985,216.35675896,198.19301598,210.86710174,1058189.48514977,223137349.82069767,0.05941294488472959
1183,2018-11-03,200.2719883,200.47894705,198.45684339,199.04146231,614288.25369701,122268832.29634497,-0.006050218009767572
1182,2018-11-02,198.02770133,201.43800013,198.0211739,200.25303684,770399.18544906,154274776.46485826,0.011356539906037131
1181,2018-11-01,197.3841812,198.36230342,196.62723627,198.00439206,656354.67690119,129961108.77787904,0.003422014650337868
1180,2018-10-31,195.83517548,197.97475951,193.21579234,197.32912889,817105.45900652,161238708.4337405,0.0061891530957602905
1179,2018-10-30,195.10769177,196.27334404,194.22326698,196.11534102,705646.78464612,138388159.81295398,0.0051522500212524145
1178,2018-10-29,203.24182453,203.51465093,193.76445947,195.11008508,871907.56590342,170117959.36839288,-0.03923195136396829
1177,2018-10-28,202.19964984,203.49897896,201.28944574,203.07719991,618806.32807271,125665456.3919875,0.007639149056880566
1176,2018-10-27,201.6280227,202.69389388,200.50444775,201.53762396,626621.28844636,126287765.59909125,-0.00035927463617480004
1175,2018-10-26,200.21291149,204.31864530000001,199.38021513,201.61005734,856077.50208644,172593834.28272098,0.0039011122043028923
1174,2018-10-25,201.52643876,202.22163211,199.5493945,200.8266102,751378.35338597,150896767.6877379,-0.005436177046415858
1173,2018-10-24,202.11369968,203.92627323,201.2308293,201.92430648,729687.30613208,147341603.23669392,-0.002751042080130772
1172,2018-10-23,202.27795533,203.35625395,199.38309399,202.48134117,802218.14741268,162434206.4026672,0.0008226020744248608
1171,2018-10-22,203.89616372,206.13029679,200.95438435,202.3149165,732122.77386034,148119357.8601051,-0.011240630215885505
1170,2018-10-21,204.89785512,207.75816569999998,203.5473111,204.61491712,696320.85833694,142477634.71947291,-0.0014053064371049027
