,Date,Open(USD),High(USD),Low(USD),Close(USD),Volume,Market Cap(USD)
647,2017-05-16,90.6701489,91.97432213,86.71128991,87.32501928,502296.13107473,43863019.33001274
648,2017-05-17,87.18128989,88.78811691,82.61669088,86.82969448,479693.46720964,41651637.20155634
649,2017-05-18,86.87720825,95.81444528,86.87720825,95.74405161,519050.47460231,49695995.42895346
650,2017-05-19,95.93102872,128.60913956,95.91488448,124.60367294,1145871.70766879,142779823.49012372
651,2017-05-20,124.26246486,128.56617467,120.80936646,122.54416435,505140.41080992,61902009.52325654
652,2017-05-21,122.93574222,147.22212785,121.93240952,147.22212785,874089.70623755,128685346.48017241
653,2017-05-22,147.27362542,179.82016728,140.31352009,161.43259379,1673293.99805736,270124190.27599615
654,2017-05-23,159.13274449,171.73242809,154.75257958,168.28533928,715929.64034307,120480462.42712374
655,2017-05-24,168.90472785,199.37897508,168.76495059,190.93904958,908651.20480271,173496997.44859833
656,2017-05-25,190.98102703,210.95492767,170.79387679,174.84968411,1201324.82034487,210051265.3450759
657,2017-05-26,174.84697639,193.20635582,146.64064569,160.97972769999998,1008000.93848669,162267716.60136646
658,2017-05-27,160.65468419,167.45702839999998,117.23853389,153.02575586,1370435.80205857,209711974.4656804
659,2017-05-28,154.2799323,178.44770714,154.2799323,169.58711731,700437.34861189,118785150.80484742
660,2017-05-29,169.28854831,194.83972851,162.77747019999998,191.94815482,604034.24549366,115943258.86962458
661,2017-05-30,192.61768402,230.00276524,185.00173647,227.57700047,1143450.16760473,260222959.3254229
662,2017-05-31,227.46819252,231.60039773,212.3046733,226.1835923,931486.14781672,210686883.08674595
663,2017-06-01,226.51736209,232.74803414,207.37715983,218.81467155,795642.11881027,174098168.90211013
664,2017-06-02,219.13843923,225.80265146,216.06419889,220.67075181,413280.39191537,91198894.79427156
665,2017-06-03,220.73407409,224.2001932,217.89827049,222.40696681,270849.59555161,60238837.00704446
666,2017-06-04,222.48145085,248.37923096,222.30170515,243.50520084,580615.36938373,141382862.13296145
667,2017-06-05,243.70429449999997,247.00580669,240.53682111,246.1940432,376511.42929168,92694871.089184
