,Date,BTC Closing Price,ETH Closing Price,XRP Closing Price,DOGE Closing Price,VET Closing Price,TUSD Closing Price,XVG Closing Price,AE Closing Price,STRAT Closing Price,LRC Closing Price,AOA Closing Price,QNT Closing Price,WAN Closing Price,ELA Closing Price,KCS Closing Price
62,2018-12-11,3419.40673955,88.40683497,0.29592978,0.00216333,0.003730,1.02,0.005717,0.382781,0.640893,0.036543,0.014408,1.22,0.321738,2.52,0.474079
63,2018-12-10,3500.08058076,90.81256458,0.30165394,0.00216987,0.003833,1.02,0.005922,0.39643,0.660458,0.036698,0.01523,1.36,0.327419,2.64,0.486547
64,2018-12-09,3615.7697974,94.48895042,0.31266375,0.00217798,0.004070,1.02,0.0063030000000000004,0.428854,0.6909930000000001,0.037199,0.015853,1.47,0.347521,2.63,0.523782
65,2018-12-08,3480.32048335,91.60722292,0.30985566,0.00225734,0.003907,1.02,0.006055,0.389502,0.645782,0.036168,0.015134,1.48,0.340876,2.58,0.509498
66,2018-12-07,3413.898571,93.13561327,0.30519531,0.00221808,0.003920,1.01,0.006075,0.35720799999999997,0.636158,0.035505,0.014646000000000001,1.5,0.336903,2.58,0.509406
67,2018-12-06,3506.85010251,91.35821866,0.31158716,0.00225788,0.004112,1.02,0.005716,0.354883,0.644433,0.03878,0.015338999999999998,1.49,0.339246,2.65,0.512419
68,2018-12-05,3752.69330547,101.8556025,0.3380464,0.00231463,0.004433,1.01,0.006611,0.441033,0.78676,0.045333,0.0162,1.5,0.389015,2.85,0.5526260000000001
69,2018-12-04,3942.37365098,110.01201387,0.35477985,0.00232132,0.004607,1.02,0.007187000000000001,0.511695,0.8997450000000001,0.043626,0.017175,1.38,0.409428,2.93,0.5933149999999999
70,2018-12-03,3875.30964639,108.41270962,0.35276196,0.00231004,0.004542,1.01,0.007097,0.530658,0.7604310000000001,0.042738,0.017084000000000002,1.21,0.394842,3.01,0.579116
71,2018-12-02,4131.7900403,116.14576963,0.36949322,0.00231824,0.004923,1.02,0.007839,0.556319,0.79975,0.045472000000000005,0.017726,1.3,0.434874,3.11,0.612952
72,2018-12-01,4194.16520798,118.43973973,0.37480442,0.00233305,0.005066,1.02,0.007873,0.5737180000000001,0.7830050000000001,0.046897,0.018345,1.25,0.435591,3.22,0.620501
